"","X","Combo","Record","leadGram","gram"
"1",6174,"the end of the",124,"the end of","the"
"2",7313,"the rest of the",120,"the rest of","the"
"3",4310,"at the same time",105,"at the same","time"
"4",4244,"at the end of",93,"at the end","of"
"5",16169,"when it comes to",92,"when it comes","to"
"6",9249,"is one of the",81,"is one of","the"
"7",9252,"one of the most",81,"one of the","most"
"8",20145,"for the first time",76,"for the first","time"
"9",36345,"i was able to",74,"i was able","to"
"10",5917,"in the middle of",73,"in the middle","of"
"11",6122,"on the other hand",71,"on the other","hand"
"12",3874,"i was going to",65,"i was going","to"
"13",12378,"i dont want to",61,"i dont want","to"
"14",29341,"to be able to",59,"to be able","to"
"15",34798,"i am going to",58,"i am going","to"
"16",21223,"a bit of a",54,"a bit of","a"
"17",8613,"for a long time",52,"for a long","time"
"18",12735,"i would like to",47,"i would like","to"
"19",64922,"was going to be",47,"was going to","be"
"20",5470,"if you want to",46,"if you want","to"
"21",14262,"was one of the",45,"was one of","the"
"22",31023,"to go to the",45,"to go to","the"
"23",44683,"is going to be",44,"is going to","be"
"24",968,"the first time i",43,"the first time","i"
"25",6853,"as much as i",43,"as much as","i"
"26",1636,"turned out to be",42,"turned out to","be"
"27",15570,"most of the time",42,"most of the","time"
"28",26765,"going to be a",42,"going to be","a"
"29",46713,"for the rest of",42,"for the rest","of"
"30",8580,"i have no idea",41,"i have no","idea"
"31",51009,"by the end of",40,"by the end","of"
"32",21490,"in front of the",39,"in front of","the"
"33",37154,"i dont know what",39,"i dont know","what"
"34",44696,"one of the best",39,"one of the","best"
"35",7300,"the middle of the",38,"the middle of","the"
"36",12997,"one of my favorite",38,"one of my","favorite"
"37",5193,"i want to be",37,"i want to","be"
"38",15614,"in the midst of",37,"in the midst","of"
"39",21617,"for the most part",37,"for the most","part"
"40",177,"i have to say",36,"i have to","say"
"41",50454,"the top of the",36,"the top of","the"
"42",72563,"in the first place",36,"in the first","place"
"43",26374,"to get out of",35,"to get out","of"
"44",82660,"when i was a",35,"when i was","a"
"45",10116,"i dont know if",34,"i dont know","if"
"46",29916,"the bottom of the",34,"the bottom of","the"
"47",30395,"i dont know how",34,"i dont know","how"
"48",13424,"the fact that i",33,"the fact that","i"
"49",18208,"a lot of people",33,"a lot of","people"
"50",64906,"i went to the",32,"i went to","the"
"51",41131,"i didnt want to",31,"i didnt want","to"
"52",13533,"i had no idea",30,"i had no","idea"
"53",66777,"at the top of",30,"at the top","of"
"54",70191,"there are so many",30,"there are so","many"
"55",48995,"i dont have to",29,"i dont have","to"
"56",6665,"at the beginning of",28,"at the beginning","of"
"57",18418,"all of a sudden",28,"all of a","sudden"
"58",20153,"the first time in",28,"the first time","in"
"59",48839,"in front of me",28,"in front of","me"
"60",56700,"for those of you",28,"for those of","you"
"61",64993,"it was time to",28,"it was time","to"
"62",1368,"a little bit of",27,"a little bit","of"
"63",5620,"i cant wait to",27,"i cant wait","to"
"64",12203,"i dont know why",27,"i dont know","why"
"65",16949,"i have to admit",27,"i have to","admit"
"66",16959,"by the time i",27,"by the time","i"
"67",68883,"be a part of",27,"be a part","of"
"68",8212,"those of you who",26,"those of you","who"
"69",19201,"im not going to",26,"im not going","to"
"70",42715,"a few years ago",26,"a few years","ago"
"71",96299,"i was in the",26,"i was in","the"
"72",97095,"this is one of",26,"this is one","of"
"73",6507,"to go back to",25,"to go back","to"
"74",6998,"as you can see",25,"as you can","see"
"75",11778,"over and over again",25,"over and over","again"
"76",19771,"you dont have to",25,"you dont have","to"
"77",22163,"a part of the",25,"a part of","the"
"78",23107,"to take care of",25,"to take care","of"
"79",12085,"in the united states",24,"in the united","states"
"80",20171,"to say that i",24,"to say that","i"
"81",29314,"with a lot of",24,"with a lot","of"
"82",61014,"i dont think i",24,"i dont think","i"
"83",148981,"my husband and i",24,"my husband and","i"
"84",264098,"when i was in",24,"when i was","in"
"85",13845,"a couple of weeks",23,"a couple of","weeks"
"86",14395,"i just wanted to",23,"i just wanted","to"
"87",17929,"to get to the",23,"to get to","the"
"88",27455,"as well as the",23,"as well as","the"
"89",41224,"for a couple of",23,"for a couple","of"
"90",51877,"there are a lot",23,"there are a","lot"
"91",67007,"i want to do",23,"i want to","do"
"92",85805,"the rest of us",23,"the rest of","us"
"93",144969,"nothing to do with",23,"nothing to do","with"
"94",190830,"we were able to",23,"we were able","to"
"95",2800,"i think it is",22,"i think it","is"
"96",21381,"let me tell you",22,"let me tell","you"
"97",25635,"im not sure if",22,"im not sure","if"
"98",37312,"to do with the",22,"to do with","the"
"99",57026,"he was going to",22,"he was going","to"
"100",60005,"a few weeks ago",22,"a few weeks","ago"
"101",70625,"and a lot of",22,"and a lot","of"
"102",88059,"it would have been",22,"it would have","been"
"103",97826,"the fact that the",22,"the fact that","the"
"104",117770,"dont get me wrong",22,"dont get me","wrong"
"105",166113,"i wanted to do",22,"i wanted to","do"
"106",220423,"for the sake of",22,"for the sake","of"
"107",14767,"a lot of time",21,"a lot of","time"
"108",18395,"and it was a",21,"and it was","a"
"109",19060,"in the case of",21,"in the case","of"
"110",21334,"by the time we",21,"by the time","we"
"111",23756,"go back to the",21,"go back to","the"
"112",35811,"it was just a",21,"it was just","a"
"113",43505,"what was going on",21,"what was going","on"
"114",43775,"in the name of",21,"in the name","of"
"115",51868,"are a lot of",21,"are a lot","of"
"116",78562,"it is important to",21,"it is important","to"
"117",85771,"you have to do",21,"you have to","do"
"118",91442,"there is a lot",21,"there is a","lot"
"119",92530,"this is not a",21,"this is not","a"
"120",97974,"i thought i would",21,"i thought i","would"
"121",1839,"is one of those",20,"is one of","those"
"122",4457,"a lot of the",20,"a lot of","the"
"123",11354,"was the first time",20,"was the first","time"
"124",14426,"to get back to",20,"to get back","to"
"125",19978,"did not want to",20,"did not want","to"
"126",20614,"i am trying to",20,"i am trying","to"
"127",20637,"all over the place",20,"all over the","place"
"128",29715,"we are going to",20,"we are going","to"
"129",29896,"there are a few",20,"there are a","few"
"130",29910,"at the bottom of",20,"at the bottom","of"
"131",30232,"will be able to",20,"will be able","to"
"132",39587,"it would be a",20,"it would be","a"
"133",53504,"the name of the",20,"the name of","the"
"134",87900,"i would love to",20,"i would love","to"
"135",104446,"for a few minutes",20,"for a few","minutes"
"136",107175,"at the age of",20,"at the age","of"
"137",155963,"have a hard time",20,"have a hard","time"
"138",162460,"one of the things",20,"one of the","things"
"139",2340,"that i want to",19,"that i want","to"
"140",3200,"it has been a",19,"it has been","a"
"141",4750,"find a way to",19,"find a way","to"
"142",7660,"going to have to",19,"going to have","to"
"143",7972,"i didnt have to",19,"i didnt have","to"
"144",8694,"in the same way",19,"in the same","way"
"145",26454,"she was going to",19,"she was going","to"
"146",26596,"you have to be",19,"you have to","be"
"147",30658,"in the form of",19,"in the form","of"
"148",31940,"the front of the",19,"the front of","the"
"149",57125,"are going to be",19,"are going to","be"
"150",58760,"is a lot of",19,"is a lot","of"
"151",59095,"that i had to",19,"that i had","to"
"152",63125,"on the back of",19,"on the back","of"
"153",64295,"if you have a",19,"if you have","a"
"154",68895,"to be a part",19,"to be a","part"
"155",76413,"as a result of",19,"as a result","of"
"156",88062,"the word of god",19,"the word of","god"
"157",90537,"i think this is",19,"i think this","is"
"158",174616,"dont want to be",19,"dont want to","be"
"159",182916,"is supposed to be",19,"is supposed to","be"
"160",73,"in the process of",18,"in the process","of"
"161",1138,"that there is a",18,"that there is","a"
"162",3856,"this is the first",18,"this is the","first"
"163",4077,"in and out of",18,"in and out","of"
"164",7305,"and the rest of",18,"and the rest","of"
"165",8391,"i need to be",18,"i need to","be"
"166",9151,"the face of the",18,"the face of","the"
"167",12495,"and i have been",18,"and i have","been"
"168",13989,"it is hard to",18,"it is hard","to"
"169",16768,"the other side of",18,"the other side","of"
"170",22747,"in a way that",18,"in a way","that"
"171",24295,"the back of the",18,"the back of","the"
"172",32331,"have no idea what",18,"have no idea","what"
"173",33825,"to come up with",18,"to come up","with"
"174",35378,"over the course of",18,"over the course","of"
"175",44699,"to be one of",18,"to be one","of"
"176",72509,"had a lot of",18,"had a lot","of"
"177",72936,"have a lot of",18,"have a lot","of"
"178",88362,"in the end i",18,"in the end","i"
"179",89692,"from time to time",18,"from time to","time"
"180",108871,"as long as i",18,"as long as","i"
"181",110343,"what to do with",18,"what to do","with"
"182",111817,"have to do is",18,"have to do","is"
"183",130028,"a lot of fun",18,"a lot of","fun"
"184",130537,"i cant help but",18,"i cant help","but"
"185",192216,"want to be a",18,"want to be","a"
"186",173,"and i have to",17,"and i have","to"
"187",178,"in a long time",17,"in a long","time"
"188",7041,"the side of the",17,"the side of","the"
"189",7042,"there was no way",17,"there was no","way"
"190",7748,"the only thing that",17,"the only thing","that"
"191",14259,"one of the first",17,"one of the","first"
"192",16761,"on the other side",17,"on the other","side"
"193",18509,"i decided to go",17,"i decided to","go"
"194",20187,"on a daily basis",17,"on a daily","basis"
"195",23598,"i was a little",17,"i was a","little"
"196",37298,"that it was a",17,"that it was","a"
"197",37446,"a great deal of",17,"a great deal","of"
"198",39184,"a couple of days",17,"a couple of","days"
"199",52770,"to be honest i",17,"to be honest","i"
"200",53054,"going to be the",17,"going to be","the"
"201",54119,"i would have to",17,"i would have","to"
"202",57848,"we went to the",17,"we went to","the"
"203",58790,"of the things i",17,"of the things","i"
"204",77416,"do you want to",17,"do you want","to"
"205",82825,"i went back to",17,"i went back","to"
"206",103401,"a few months ago",17,"a few months","ago"
"207",119061,"the two of them",17,"the two of","them"
"208",171974,"the best way to",17,"the best way","to"
"209",222093,"the new york times",17,"the new york","times"
"210",6177,"to the end of",16,"to the end","of"
"211",8578,"have no idea how",16,"have no idea","how"
"212",8598,"trying to figure out",16,"trying to figure","out"
"213",8747,"i feel like i",16,"i feel like","i"
"214",9077,"we were going to",16,"we were going","to"
"215",16042,"had no idea what",16,"had no idea","what"
"216",16525,"dont know if i",16,"dont know if","i"
"217",24794,"thought it would be",16,"thought it would","be"
"218",25243,"in the morning and",16,"in the morning","and"
"219",29971,"seems to be a",16,"seems to be","a"
"220",38757,"i dont know about",16,"i dont know","about"
"221",53154,"is one of my",16,"is one of","my"
"222",54782,"and i decided to",16,"and i decided","to"
"223",58411,"that there is no",16,"that there is","no"
"224",64992,"i thought it was",16,"i thought it","was"
"225",80455,"the only way to",16,"the only way","to"
"226",97003,"this is what i",16,"this is what","i"
"227",101106,"we went to a",16,"we went to","a"
"228",104812,"it was the first",16,"it was the","first"
"229",136503,"out to be a",16,"out to be","a"
"230",147523,"it was a great",16,"it was a","great"
"231",150243,"in front of a",16,"in front of","a"
"232",206356,"turns out to be",16,"turns out to","be"
"233",221092,"that i need to",16,"that i need","to"
"234",5925,"the middle of a",15,"the middle of","a"
"235",7179,"in the history of",15,"in the history","of"
"236",13423,"that i have a",15,"that i have","a"
"237",13999,"as one of the",15,"as one of","the"
"238",14391,"at the time i",15,"at the time","i"
"239",29291,"as much as possible",15,"as much as","possible"
"240",44473,"a great way to",15,"a great way","to"
"241",49624,"and i had to",15,"and i had","to"
"242",49854,"on top of the",15,"on top of","the"
"243",51667,"the beginning of the",15,"the beginning of","the"
"244",54988,"as soon as the",15,"as soon as","the"
"245",57527,"to the point of",15,"to the point","of"
"246",58899,"take a look at",15,"take a look","at"
"247",65949,"a lot of things",15,"a lot of","things"
"248",66128,"i wanted to be",15,"i wanted to","be"
"249",66523,"if you are a",15,"if you are","a"
"250",70011,"this is why i",15,"this is why","i"
"251",71046,"to keep up with",15,"to keep up","with"
"252",75197,"was supposed to be",15,"was supposed to","be"
"253",84131,"a couple of years",15,"a couple of","years"
"254",92805,"as soon as i",15,"as soon as","i"
"255",101786,"i was trying to",15,"i was trying","to"
"256",109021,"to make sure that",15,"to make sure","that"
"257",126329,"a big fan of",15,"a big fan","of"
"258",127852,"it is not a",15,"it is not","a"
"259",132570,"he didnt want to",15,"he didnt want","to"
"260",135417,"i was on the",15,"i was on","the"
"261",137055,"to the top of",15,"to the top","of"
"262",140698,"that i wanted to",15,"that i wanted","to"
"263",168486,"so i decided to",15,"so i decided","to"
"264",178452,"i wish i could",15,"i wish i","could"
"265",197570,"the only one who",15,"the only one","who"
"266",2228,"for me and my",14,"for me and","my"
"267",9117,"in addition to the",14,"in addition to","the"
"268",13831,"to look forward to",14,"to look forward","to"
"269",14270,"i wish i had",14,"i wish i","had"
"270",15662,"for a lot of",14,"for a lot","of"
"271",18397,"i felt like i",14,"i felt like","i"
"272",23228,"you are going to",14,"you are going","to"
"273",23608,"a couple of times",14,"a couple of","times"
"274",24788,"i thought it would",14,"i thought it","would"
"275",27224,"in the long run",14,"in the long","run"
"276",28117,"i am not sure",14,"i am not","sure"
"277",28452,"to be part of",14,"to be part","of"
"278",30973,"and i am not",14,"and i am","not"
"279",32371,"with a couple of",14,"with a couple","of"
"280",33147,"end of the day",14,"end of the","day"
"281",34731,"fell in love with",14,"fell in love","with"
"282",37305,"have to do with",14,"have to do","with"
"283",47550,"figure out how to",14,"figure out how","to"
"284",48236,"it was one of",14,"it was one","of"
"285",57593,"one of the more",14,"one of the","more"
"286",58171,"to the point where",14,"to the point","where"
"287",70858,"on top of that",14,"on top of","that"
"288",73245,"the heart of the",14,"the heart of","the"
"289",73345,"in one of the",14,"in one of","the"
"290",79239,"feel the need to",14,"feel the need","to"
"291",85504,"once upon a time",14,"once upon a","time"
"292",87449,"may or may not",14,"may or may","not"
"293",89115,"one of the few",14,"one of the","few"
"294",99006,"the next day i",14,"the next day","i"
"295",102606,"the past few years",14,"the past few","years"
"296",103877,"so i had to",14,"so i had","to"
"297",113113,"for as long as",14,"for as long","as"
"298",113272,"we live in a",14,"we live in","a"
"299",126515,"the center of the",14,"the center of","the"
"300",132829,"i look forward to",14,"i look forward","to"
"301",145400,"good news is that",14,"good news is","that"
"302",146274,"but it is a",14,"but it is","a"
"303",165284,"i didnt know what",14,"i didnt know","what"
"304",184435,"i knew it was",14,"i knew it","was"
"305",222713,"the two of us",14,"the two of","us"
"306",238188,"i used to be",14,"i used to","be"
"307",254558,"a few days ago",14,"a few days","ago"
"308",306190,"that this is a",14,"that this is","a"
"309",307937,"not being able to",14,"not being able","to"
"310",1512,"if i want to",13,"if i want","to"
"311",2301,"that i am not",13,"that i am","not"
"312",6501,"for a while and",13,"for a while","and"
"313",7519,"so that we can",13,"so that we","can"
"314",7684,"a few days later",13,"a few days","later"
"315",8642,"i grew up in",13,"i grew up","in"
"316",9227,"in the back of",13,"in the back","of"
"317",10906,"you can see the",13,"you can see","the"
"318",12853,"at the very least",13,"at the very","least"
"319",14248,"one of those people",13,"one of those","people"
"320",14705,"not to say that",13,"not to say","that"
"321",14757,"i dont need to",13,"i dont need","to"
"322",14866,"one of the many",13,"one of the","many"
"323",17240,"john smiths grand national",13,"john smiths grand","national"
"324",19131,"not to mention the",13,"not to mention","the"
"325",19417,"there is no way",13,"there is no","way"
"326",19756,"not be able to",13,"not be able","to"
"327",20528,"was the only one",13,"was the only","one"
"328",23935,"to get rid of",13,"to get rid","of"
"329",26372,"out of the house",13,"out of the","house"
"330",27703,"theres a lot of",13,"theres a lot","of"
"331",31814,"one of the reasons",13,"one of the","reasons"
"332",32453,"and went to the",13,"and went to","the"
"333",41448,"is part of the",13,"is part of","the"
"334",44689,"be one of the",13,"be one of","the"
"335",48657,"but i dont think",13,"but i dont","think"
"336",53057,"not going to be",13,"not going to","be"
"337",54378,"that there was no",13,"that there was","no"
"338",54732,"that i was going",13,"that i was","going"
"339",61325,"know what to do",13,"know what to","do"
