"","Combo","Record"
"26","the",72562
"17","and",43391
"11","to",43023
"1","a",35014
"50","i",34080
"8","of",32967
"35","in",23884
"64","that",19064
"5","is",17877
"6","it",16996
"161","was",14178
"23","for",13486
"13","with",11308
"54","my",11088
"145","on",10246
"27","this",10182
"30","you",9326
"19","as",8985
"162","we",8952
"95","but",8589
"96","have",8539
"143","he",8130
"43","be",7912
"235","are",7345
"99","not",7270
"496","at",6969
"89","me",6312
"383","they",6186
"74","so",6081
"42","all",5661
"115","his",5519
"212","had",5273
"272","from",5259
"146","one",5180
"273","her",5024
"484","or",4920
"267","she",4793
"16","about",4782
"395","when",4614
"196","by",4487
"393","out",4410
"159","there",4349
"180","up",4344
"51","if",4280
"82","an",4221
"131","its",4178
"39","what",4127
"155","just",4091
"156","like",4014
"528","were",4006
"142","has",3870
"41","will",3852
"293","more",3656
"218","can",3642
"357","would",3550
"10","time",3540
"22","do",3517
"514","our",3494
"148","some",3414
"563","their",3400
"444","them",3250
"206","who",3082
"55","been",3069
"15","your",2880
"24","get",2856
"343","then",2798
"669","him",2781
"1037","no",2771
"526","people",2579
"154","how",2511
"278","which",2503
"193","also",2474
"264","into",2464
"780","because",2463
"61","know",2430
"122","even",2348
"167","other",2276
"521","us",2261
"188","dont",2259
"130","first",2242
"647","only",2234
"68","im",2194
"72","now",2183
"296","than",2173
"261","back",2146
"1093","very",2103
"827","really",2088
"580","after",2078
"304","could",2051
"98","much",2038
"774","these",1998
"38","see",1988
"158","over",1972
"103","am",1968
"389","way",1962
"986","think",1933
"226","day",1913
"283","well",1873
"7","make",1833
"48","good",1807
"405","most",1805
"693","go",1784
"385","did",1779
"157","many",1754
"1441","life",1708
"166","little",1705
"2","being",1704
"71","new",1668
"1264","two",1659
"1002","going",1640
"297","things",1635
"952","love",1574
"63","still",1550
"333","got",1526
"497","before",1526
"67","years",1517
"339","down",1516
"399","want",1512
"422","work",1508
"106","made",1491
"630","something",1482
"581","any",1478
"407","off",1473
"857","said",1468
"303","those",1439
"992","through",1439
"305","didnt",1438
"924","never",1414
"152","too",1412
"279","around",1412
"88","last",1389
"564","where",1379
"720","take",1309
"1299","here",1304
"232","right",1291
"254","while",1283
"138","say",1236
"700","every",1232
"86","few",1205
"9","own",1193
"641","always",1192
"486","year",1186
"440","another",1172
"512","god",1166
"396","world",1129
"53","may",1117
"489","great",1115
"802","home",1109
"60","ive",1106
"432","went",1105
"1371","thing",1098
"703","same",1094
"1057","feel",1093
"391","each",1081
"1089","again",1080
"638","need",1078
"1011","find",1049
"594","come",1042
"310","should",1040
"982","why",1033
"2380","book",992
"132","long",979
"483","lot",931
"1899","came",931
"150","such",929
"406","next",928
"1109","since",927
"20","best",912
"1419","does",898
"499","look",889
"1215","thought",889
"446","both",886
"1220","used",875
"140","better",874
"128","though",869
"1848","family",863
"704","part",862
"169","place",858
"270","away",853
"266","put",850
"1830","old",849
"1040","use",846
"803","man",844
"321","myself",839
"362","however",820
"626","cant",817
"855","told",816
"129","took",809
"463","without",806
"1543","sure",804
"2361","different",804
"1212","once",801
"1691","ever",801
"204","started",800
"94","week",799
"1121","found",799
"415","days",791
"702","night",790
"160","times",788
"487","big",784
"1060","doing",774
"81","thats",772
"576","end",765
"1886","until",762
"242","point",761
"501","wanted",760
"605","story",760
"110","read",756
"1117","left",754
"459","having",749
"1088","actually",749
"189","give",738
"76","bit",735
"1340","let",731
"2583","house",728
"263","help",714
"761","enough",706
"1153","between",705
"1528","getting",700
"1708","might",694
"734","three",693
"1535","doesnt",691
"222","today",689
"258","school",684
"525","kids",664
"397","anything",663
"889","friends",658
"1133","done",655
"1679","pretty",655
"762","everything",647
"2513","keep",646
"182","must",643
"1510","together",641
"653","tell",639
"247","felt",630
"682","someone",629
"600","yet",627
"508","wasnt",626
"636","children",623
"229","makes",622
"1166","hard",620
"1874","course",619
"1727","trying",610
"623","quite",603
"695","show",603
"1523","called",602
"1407","able",599
"649","person",598
"382","start",597
"629","often",597
"1473","food",596
"1870","set",596
"1570","fact",595
"2390","during",593
"70","looking",592
"187","try",586
"292","room",586
"1085","kind",583
"1049","later",582
"519","believe",575
"485","past",572
"1112","live",565
"1336","water",565
"677","hes",564
"1094","bad",563
"498","knew",560
"778","remember",559
"2784","already",557
"1438","whole",555
"413","second",552
"411","head",550
"1836","asked",549
"863","mind",546
"252","small",545
"829","almost",545
"104","far",544
"1284","nothing",543
"434","everyone",541
"1668","making",534
"524","id",529
"969","others",526
"286","high",518
"308","probably",515
"678","least",512
"371","seems",510
"584","film",510
"360","decided",504
"2854","idea",503
"3973","real",502
"1938","ago",501
"714","comes",500
"66","working",498
"650","under",498
"935","less",495
"1928","sometimes",493
"886","youre",492
"437","music",490
"1015","heart",485
"45","finally",484
"822","friend",482
"3249","call",482
"2592","side",480
"509","words",477
"597","minutes",474
"1761","along",474
"846","against",472
"2115","theres",472
"1665","name",471
"2164","run",470
