"","leadGram","gram","Record"
"167","of","the",6889
"37","in","the",6162
"374","to","the",3566
"657","to","be",2887
"502","on","the",2840
"1828","i","was",2686
"511","it","was",2302
"190","and","i",2277
"1064","for","the",2135
"140","and","the",2133
"5","it","is",2074
"131","i","have",1999
"4","is","a",1870
"1972","at","the",1816
"1125","that","i",1753
"194","in","a",1709
"156","with","the",1656
"144","i","am",1640
"1027","i","had",1402
"765","with","a",1350
"1348","from","the",1346
"82","for","a",1337
"1909","of","a",1298
"520","was","a",1265
"1911","one","of",1263
"25","is","the",1261
"19","as","a",1211
"1843","this","is",1187
"2246","when","i",1125
"126","but","i",1113
"1427","to","get",1088
"30","to","do",1081
"75","that","the",1029
"193","have","to",1029
"3877","going","to",1006
"3401","i","dont",994
"1033","the","first",991
"1323","the","same",982
"1144","if","you",972
"536","by","the",960
"1585","want","to",959
"665","out","of",949
"2042","i","think",924
"2390","of","my",922
"2621","have","a",921
"105","a","few",916
"1126","there","is",914
"2278","in","my",914
"2654","have","been",908
"1799","he","was",896
"1166","all","the",890
"612","and","a",848
"836","a","lot",848
"835","a","little",836
"3496","will","be",799
"5112","so","i",794
"10","to","make",788
"1914","they","are",768
"41","to","see",762
"1116","there","are",761
"314","to","a",753
"4860","that","is",748
"1382","to","have",740
"3931","would","be",739
"1630","into","the",738
"343","on","a",736
"3889","had","a",730
"668","we","are",715
"1171","is","not",711
"850","to","me",708
"535","as","i",704
"893","about","the",704
"328","you","can",702
"581","i","would",700
"3767","and","it",699
"2096","and","then",695
"320","be","a",694
"1136","i","can",688
"207","as","the",683
"2379","was","the",681
"2116","to","go",680
"383","has","been",678
"1391","i","know",646
"1583","the","most",636
"2027","in","this",631
"1157","need","to",625
"8454","we","were",624
"3479","of","this",616
"985","i","could",614
"401","she","was",613
"3699","the","other",613
"878","what","i",612
"1478","for","me",609
"667","the","world",605
"448","we","have",604
"1521","all","of",602
"3047","me","to",597
"7065","able","to",587
"1178","the","time",586
"1153","you","are",581
"8567","had","to",581
"2383","is","that",580
"2859","part","of",573
"1579","if","i",571
"4947","they","were",562
"1346","back","to",559
"964","there","was",555
"509","but","it",551
"1742","the","way",543
"91","a","bit",540
"841","lot","of",538
"476","he","is",535
"4416","that","we",535
"423","as","well",532
"1796","that","he",531
"489","i","didnt",525
"2337","i","will",525
"4068","trying","to",520
"5645","and","he",516
"331","a","good",509
"600","like","a",508
"2701","but","the",508
"1781","of","his",506
"1399","some","of",501
"845","over","the",500
"1407","more","than",497
"437","and","we",492
"5054","you","have",490
"877","wanted","to",479
"2321","kind","of",478
"652","i","did",477
"27","the","best",469
"2113","on","my",466
"321","can","be",465
"4632","of","course",465
"121","the","last",461
"1518","to","my",457
"2374","i","do",456
"1491","to","take",455
"206","to","say",445
"7326","the","only",441
"8502","that","it",440
"699","the","next",438
"2362","i","just",436
"1032","the","end",433
"1258","at","least",429
"803","that","they",426
"3144","through","the",426
"1163","up","to",423
"629","and","they",419
"546","in","his",418
"884","i","got",418
"2577","a","very",414
"4347","would","have",407
"7421","because","i",407
"1056","most","of",406
"316","we","had",402
"1180","which","is",396
"4211","of","our",390
"1328","has","a",388
"2861","that","was",388
"325","me","and",384
"2511","and","that",384
"809","be","the",382
"3019","at","a",382
"3208","so","much",379
"649","did","not",377
"1097","of","it",375
"1578","i","want",373
"2290","a","great",372
"1025","had","been",369
"1666","of","them",367
"2690","i","thought",367
"1483","not","to",366
"6247","to","find",366
"2043","its","a",365
"6241","is","to",364
"270","that","you",363
"2564","up","and",363
"103","with","my",362
"1713","went","to",361
"2253","i","love",360
"211","he","has",359
"4398","im","not",358
"81","a","new",355
"1193","when","the",354
"1526","of","these",354
"670","when","we",353
"5482","i","cant",351
"8766","it","to",346
"29","time","to",343
"420","was","in",341
"599","it","would",338
"1248","he","had",336
"681","the","day",334
"1288","go","to",333
"1648","it","and",331
"2378","this","was",330
"2373","do","not",328
"248","was","not",327
"727","and","she",327
"1422","like","the",327
"1957","a","couple",327
"10344","used","to",327
"2291","and","my",324
"1545","when","you",323
"2738","i","went",322
"9317","dont","know",322
"13139","how","to",322
"4687","way","to",319
"2185","not","a",317
"2535","you","know",315
"5238","she","is",315
"159","and","his",312
"2934","of","their",311
"3326","of","her",311
"73","know","that",309
"2363","into","a",309
"7231","should","be",309
"2668","in","our",307
"7822","when","he",306
"260","up","the",305
"3239","it","has",304
"10823","about","it",304
"595","decided","to",303
"1756","such","a",302
"2024","are","the",302
"4786","have","the",302
"9910","my","life",302
"1500","they","have",301
"1446","of","us",299
"6466","to","keep",299
"435","up","with",295
"10238","of","all",295
"1673","i","really",293
"436","with","her",292
"764","to","work",291
"849","the","past",291
"4371","that","she",291
"10375","i","also",291
"871","i","wanted",290
"5486","and","not",290
"5953","the","book",290
"3635","in","fact",289
"439","around","the",288
"1597","the","story",288
"7434","at","all",288
"11151","just","a",288
"1122","is","an",287
"3267","the","whole",287
"3620","are","not",286
"2074","as","it",284
"5439","does","not",283
"2348","i","feel",282
"5637","is","no",282
"2104","then","i",281
"1021","end","of",280
"1034","time","i",280
"1011","from","a",279
"1772","because","of",279
"3698","the","one",279
"6809","that","this",277
"11552","like","to",275
"5121","in","their",274
"4113","not","the",273
"138","you","will",272
"938","there","were",272
"1691","out","to",271
"389","and","was",269
"4110","its","not",269
"12060","for","my",269
"4357","to","give",268
"1001","out","the",266
"852","a","big",263
"974","of","that",263
"77","to","know",262
"5958","during","the",262
"8183","is","in",262
"683","we","can",261
"1609","the","new",261
"1395","my","own",260
"1737","see","the",259
"1234","him","to",258
"16303","to","come",258
"4048","in","and",257
"5240","up","in",256
"987","of","those",255
"3087","so","many",255
"2792","after","the",254
"14297","when","it",254
"2401","off","the",253
"3488","it","will",253
"5600","the","rest",253
"2360","for","this",252
"1727","to","help",251
"1961","couple","of",251
"7533","to","use",251
"1026","i","felt",250
"1465","and","its",250
"2354","the","right",250
"5921","each","other",247
"6346","i","found",247
"1643","get","a",246
"2339","it","all",246
"2329","you","want",245
"869","i","knew",244
"3732","by","a",244
"3538","could","be",243
"3572","may","be",243
"9874","try","to",243
"189","a","long",241
"213","on","this",241
"1128","to","this",240
"1513","say","that",240
"2035","the","people",240
"6778","know","what",240
"1227","them","to",239
"2740","was","going",239
"3441","the","two",239
"5017","out","and",239
"13129","as","we",239
"1875","this","time",238
"7412","if","the",238
"1904","is","one",237
"4660","to","her",237
"5026","and","in",237
"6213","me","that",237
"4579","to","his",236
"6070","with","his",236
"739","down","the",235
"5314","get","to",235
"12557","years","ago",235
"712","the","second",234
"1846","with","me",234
"837","are","a",233
"4135","seems","to",233
"9392","than","the",233
"72","ive","been",232
"1702","so","we",232
"2565","was","so",232
"3236","been","a",232
"18823","and","you",232
"9861","she","had",231
"874","look","at",230
"4802","of","you",230
"6755","it","in",230
"6934","people","who",230
"7820","the","house",230
"18171","no","one",230
"3495","when","they",229
"1646","if","it",226
"11983","enough","to",226
"885","i","started",225
"9058","they","had",225
"3792","and","so",223
"3814","what","is",223
"6121","and","have",223
"15952","you","dont",223
"18714","and","is",223
"432","she","has",222
"1353","on","his",222
"2834","make","a",221
"645","as","much",220
"1091","as","an",220
"6158","so","that",220
"8044","in","that",219
"464","in","her",218
"2335","do","it",218
"3168","be","able",218
"3494","their","own",218
"7048","which","i",218
"7387","the","top",218
"1431","bit","of",217
"5012","and","there",217
"5055","feel","like",217
"3448","hard","to",216
"6476","of","what",216
"7948","take","a",216
"5664","him","and",215
"1445","many","of",214
"4345","told","me",214
"6027","if","we",214
"10913","at","this",214
"2716","i","used",212
"5598","rest","of",212
"3083","had","the",211
"3322","as","he",211
"11303","do","you",211
"926","us","to",210
"2622","i","still",210
"5315","i","get",210
"12682","not","be",210
"14509","is","also",210
"6235","the","fact",209
"1202","that","there",208
"19200","the","kids",208
"3949","those","who",207
"13875","in","your",207
"4353","me","a",206
"848","that","are",205
"5699","about","a",205
"7435","but","not",205
"9028","to","try",205
"9268","has","to",205
"364","a","small",204
"205","time","and",203
"1524","and","all",203
"2445","but","he",202
"5895","what","you",202
"16149","make","it",202
"6036","and","to",201
"6230","fact","that",201
"442","for","her",200
"519","tried","to",200
"4253","i","like",200
"1374","i","need",199
"2651","well","as",199
"8389","with","this",199
"1577","get","the",197
"2252","i","guess",197
"5869","because","it",197
"13195","this","year",197
"24550","of","your",197
"218","such","as",196
"5920","dont","have",196
"18442","he","said",196
"47","you","to",195
"8613","how","much",195
"20556","and","this",195
"20663","if","they",195
"124","as","you",194
"598","i","decided",194
"13115","of","people",194
"1023","first","time",193
"1048","the","film",193
"1061","come","to",193
"4251","but","its",193
"8304","of","god",193
"2484","as","they",192
"3808","right","now",192
"12663","is","just",192
"2923","the","more",191
"5669","to","him",191
"4638","a","year",190
"8465","what","the",189
"1455","is","what",188
"1995","instead","of",187
"2656","his","own",187
"3346","too","much",187
"5836","now","i",187
"3210","to","tell",186
"6000","we","will",186
"7716","my","husband",186
"8994","to","think",186
"9928","sort","of",186
"36364","and","her",185
"2357","am","not",184
"6260","a","while",184
"17198","we","got",184
"7812","could","have",183
"10571","to","put",183
"20993","no","longer",183
"773","i","made",182
"1389","from","my",182
"4652","is","still",182
"5329","on","to",182
"6110","what","they",182
"15105","or","the",182
"1814","in","an",181
"4336","a","week",181
"4854","in","order",181
"7945","got","to",181
"16148","i","couldnt",181
"1562","was","to",180
"9043","not","only",180
"9744","with","it",180
"1147","rather","than",179
"10099","think","that",179
"24249","back","in",179
"200","my","first",178
"1611","who","is",178
"2222","but","we",178
"3613","number","of",178
"8677","but","they",178
"12919","what","we",178
"221","this","one",177
"6659","of","an",177
"18033","that","would",177
"407","away","from",176
"1400","that","my",176
"3784","like","that",176
"4192","along","with",176
"5404","much","more",176
"5771","to","our",176
"10514","he","would",176
"2255","something","that",175
"3872","of","me",175
"4317","like","i",175
"5149","seem","to",175
"3209","tell","you",173
"6577","lots","of",173
"7839","and","im",173
"12755","supposed","to",173
"84","looking","for",172
"390","back","and",172
"748","we","went",172
"1250","if","he",172
"1752","i","told",172
"2616","we","all",172
"15905","because","they",172
"527","i","saw",171
"6012","think","of",171
"1930","all","that",170
"4296","is","very",170
"5902","even","if",170
"6188","just","as",170
"9984","was","just",170
"641","to","start",169
"3655","where","the",169
"4250","under","the",169
"6790","sense","of",169
"1755","must","be",168
"2151","the","word",168
"3511","being","a",168
"9224","and","had",168
"13947","things","that",168
"15252","for","all",168
"20898","down","to",168
"155","to","read",167
"1709","got","a",167
"3337","when","she",167
"5143","for","some",167
"13732","for","us",167
"20144","after","a",167
"1318","is","it",166
"6076","i","remember",166
"12780","not","have",166
"7759","the","movie",165
"8036","have","no",165
"178","even","though",164
"421","which","was",164
"4506","is","going",164
"7599","the","idea",164
"8064","i","hope",164
"9439","what","it",164
"11329","came","to",164
"2270","the","night",163
"4784","for","you",163
"10081","amount","of",163
"18787","and","even",163
"411","her","to",162
"1746","a","huge",162
"5432","who","are",162
"5867","with","him",162
"7391","before","the",162
"1969","up","a",161
"3207","is","so",161
"8205","where","i",161
"11522","i","wasnt",161
"12040","or","a",161
"24516","know","how",161
"617","it","seems",160
"868","before","i",160
"4857","order","to",160
"9486","dont","think",160
"9713","to","write",160
"11412","i","took",160
"11993","believe","that",160
"15522","the","entire",160
"1385","and","some",159
"2380","all","i",159
"2854","due","to",159
"8464","to","it",159
"2205","to","you",158
"7273","front","of",158
"1561","to","your",157
"3465","make","the",157
"5077","having","a",157
"6880","the","car",157
"7013","the","very",157
"10656","to","live",157
"875","to","look",156
"1576","every","day",156
"1990","and","their",156
"5161","they","will",156
"6564","much","as",156
"13609","we","could",156
"798","for","it",155
"1241","who","was",155
"5616","new","york",155
"9456","for","example",155
"16152","at","that",155
"21351","might","be",155
"1639","with","an",154
"1832","with","some",154
"1929","a","day",154
"4256","like","it",154
"4373","was","that",154
"4674","a","way",154
"5301","about","this",154
"12180","on","her",154
"13503","so","the",154
"17434","a","man",154
"777","them","and",153
"1135","how","i",153
"1550","and","more",153
"1830","was","an",153
"3317","than","a",153
"4119","do","with",153
"4950","based","on",153
"9675","wants","to",153
"9988","needed","to",153
"2123","my","heart",152
"2309","much","of",152
"3639","said","that",152
"3700","the","road",152
"4429","or","not",152
"6721","side","of",152
"7004","because","he",152
"8788","to","their",152
"10905","going","on",152
"12195","had","no",152
"601","one","day",151
"3781","can","see",151
"3910","dont","want",151
"5874","for","him",151
"18435","i","said",151
"21354","think","i",151
"5758","the","middle",150
"9160","according","to",150
"19478","will","have",150
"19839","began","to",150
"49","and","if",149
"1944","with","all",149
"3756","let","me",149
"5513","since","i",149
"6569","between","the",149
"9739","it","a",149
"10357","on","it",149
"1","a","time",148
"778","with","them",148
"897","it","wasnt",148
"1610","to","create",148
"2431","because","the",148
"2558","and","when",148
"4130","full","of",148
"4573","but","in",148
"4841","last","year",148
"7842","he","did",148
"22678","my","mind",148
"554","down","and",147
"3595","to","them",147
"9737","but","that",147
"27214","was","very",147
"2555","was","no",146
"2775","that","a",146
"3497","for","his",146
"4238","the","back",146
"5058","me","in",146
"9837","the","us",146
"10990","comes","to",146
"12436","but","this",146
"7866","started","to",145
"8308","and","what",145
"12896","this","book",145
"18165","out","there",145
"471","to","play",144
"6382","of","being",144
"13026","up","on",144
"13145","even","more",144
"1095","it","as",143
"1622","the","man",143
"14403","to","eat",143
"16903","will","not",143
"865","that","has",142
"1532","and","how",142
"2523","the","lord",142
"2661","the","point",142
"3376","i","never",142
"5119","for","their",142
"7395","made","it",142
"10572","top","of",142
"161","easy","to",141
"3920","like","this",141
"4705","i","mean",141
"5407","and","other",141
"5846","to","us",141
"7203","in","it",141
"9888","me","the",141
"11762","my","favorite",141
"2762","that","will",140
"4714","and","just",140
"7274","in","front",140
"7286","at","home",140
"13966","the","s",140
"1004","the","door",139
"4680","find","a",139
"9164","ended","up",139
"18283","it","up",139
"18514","for","an",139
"18582","in","all",139
"973","more","of",138
"2301","made","a",138
"3041","but","then",138
"8149","over","and",138
"9647","i","believe",138
